ticker,status,source_status,rows,first_date,last_date,adjusted_for_splits,includes_dividends,raw_file,sha256,error
CINF,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_CINF_daily_2001-01-01_2026-09-12.json.gz,91bbff655ebaa2351c6b45366a8246e344b45e47a44aa37d69ca150fc26f8334,
CNA,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_CNA_daily_2001-01-01_2026-09-12.json.gz,1067d1f7e488e5c2d1508516bb5760bfab6cc418bff25c8c067f9a15b5c80f2f,
EG,ok,cached,798,2023-07-10,2026-09-11,True,False,raw/massive_EG_daily_2001-01-01_2026-09-12.json.gz,cf8d10ac7cb29438a6221867b293bda11280565e7448ad0c83185cbc9eb8a2d9,
FRFHF,ok,cached,1171,2021-12-31,2026-09-11,True,False,raw/massive_FRFHF_daily_2001-01-01_2026-09-12.json.gz,722d55c7b03149deeac9d40bf0596c97b8b1e1270bf3f2e9f0a869c30989f47e,
GIVSY,ok,cached,25,2022-01-05,2026-08-25,True,False,raw/massive_GIVSY_daily_2001-01-01_2026-09-12.json.gz,c1844bbeccf91bf55dd65f1a4ce747667e366f1b85f95c7e88d4dc86123deb44,
GWLIF,ok,cached,1087,2021-12-31,2026-09-11,True,False,raw/massive_GWLIF_daily_2001-01-01_2026-09-12.json.gz,0693e85c79e98222621229c5f95d2cbe476e229c07d5a00694fbdd0ce9ce0be8,
HCI,ok,cached,3488,2012-10-25,2026-09-11,True,False,raw/massive_HCI_daily_2001-01-01_2026-09-12.json.gz,411138ddd2bc1b6fa2d54608158f5e4ab5805d08231050430ac8c73d56f6a5d6,
HIG,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_HIG_daily_2001-01-01_2026-09-12.json.gz,e7c9b4dfe429d46555cb3b2c72d28350db77ec9c94c1c57a48e59c8f1fef94d4,
HVRRY,ok,cached,1139,2021-12-31,2026-09-11,True,False,raw/massive_HVRRY_daily_2001-01-01_2026-09-12.json.gz,16b96c9117be38c7b71b5e5f156d6aa1a01499c05c1ee75ad8aaaffd08887e56,
IAUGY,ok,cached,634,2022-01-03,2026-09-10,True,False,raw/massive_IAUGY_daily_2001-01-01_2026-09-12.json.gz,045cd883c7754e55e53a3627291941eef4570a22a928e099d8595221cc7b08d6,
IFCZF,ok,cached,834,2021-12-31,2026-09-11,True,False,raw/massive_IFCZF_daily_2001-01-01_2026-09-12.json.gz,fe0e5d43178d01537deca93699b0258149a76cf76b4db4072785176464ef2958,
IFS,ok,cached,2632,2004-05-07,2026-09-11,True,False,raw/massive_IFS_daily_2001-01-01_2026-09-12.json.gz,de8b925739913f55526b175ef0c18067a9bde921f00f991e0abe8513fec9bfe1,
ITUB,ok,cached,4355,2009-05-20,2026-09-11,True,False,raw/massive_ITUB_daily_2001-01-01_2026-09-12.json.gz,502188edc4702985680ef82e4190e49ba97759b6066831ca10468ba1b00af067,
KNSL,ok,cached,2545,2016-07-28,2026-09-11,True,False,raw/massive_KNSL_daily_2001-01-01_2026-09-12.json.gz,67564a4c104c896e82a040dff406114125b941da0b8abd8f63e29d5b47d9e965,
LFCHY,ok,cached,47,2022-09-02,2022-11-10,True,False,raw/massive_LFCHY_daily_2001-01-01_2026-09-12.json.gz,df1e4bc268db1ec42f22f7eb8483a37a34f150c8db40098995e3f2f2cc5a63af,
LMND,ok,cached,1556,2020-07-02,2026-09-11,True,False,raw/massive_LMND_daily_2001-01-01_2026-09-12.json.gz,697cb1ddb2e188e9d0f154329ec09c877a2f11804e3ef5ab66e6dc4689613176,
MCY,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_MCY_daily_2001-01-01_2026-09-12.json.gz,1f6d75551007f35b90da4f5df3ceb0088716ae20e114f5cb988a5154a9aca614,
MET,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_MET_daily_2001-01-01_2026-09-12.json.gz,c93d8f55c4b7e68151630c3bc8cc0156ab4b713d48858c6cb60f84696a492eaf,
MFC,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_MFC_daily_2001-01-01_2026-09-12.json.gz,a671ccebe7eab1b85febe6aff022610f6abb8602cc9977e63c942de455fa555b,
MKL,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_MKL_daily_2001-01-01_2026-09-12.json.gz,ac24633057a28dd34141861aa798aa6f94ca2855c2bd0c49bde1d983cc35360a,
MPFRY,ok,cached,187,2022-01-26,2026-09-02,True,False,raw/massive_MPFRY_daily_2001-01-01_2026-09-12.json.gz,9cc4a84bb7a58d168a30a30242ebf69543f29d75f73180d1d43bd07a408700c7,
MURGY,ok,cached,1170,2021-12-31,2026-09-11,True,False,raw/massive_MURGY_daily_2001-01-01_2026-09-12.json.gz,73c8c8b442bc33ef4f01e1e0e116f4018846fb63773e1259e7c75fc9a891e361,
ODMTY,empty,cached,0,,,True,False,raw/massive_ODMTY_daily_2001-01-01_2026-09-12.json.gz,c4137e5cc1aa2e039d32a79ef337b037ef1918c8f58a8561ee4430ee37d4da4d,
PGR,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_PGR_daily_2001-01-01_2026-09-12.json.gz,76f9365e55a84ab467d7e6b5b2ca6cbab6f05ddd0753726134df6bb943339784,
PLMR,ok,cached,1861,2019-04-17,2026-09-11,True,False,raw/massive_PLMR_daily_2001-01-01_2026-09-12.json.gz,d521e9ce96bf4067cc2eeb4209b7ea525011003715934844046fe6743bc4567d,
PNGAY,ok,cached,1171,2021-12-31,2026-09-11,True,False,raw/massive_PNGAY_daily_2001-01-01_2026-09-12.json.gz,a1eeb537030889bae2c60e33b66fa68df6fdf301a02b760ccce85d7d4ee514c7,
PPCCY,ok,cached,1088,2021-12-31,2026-09-11,True,False,raw/massive_PPCCY_daily_2001-01-01_2026-09-12.json.gz,2077c858c8a844f91c68290f5f46d16945c6678616019111726bf3ed043ea1e2,
PRU,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_PRU_daily_2001-01-01_2026-09-12.json.gz,3229d838d53586ea06f3d95581273255d1e2d6a56a3bbc6e284ad6b43d2c461a,
PUK,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_PUK_daily_2001-01-01_2026-09-12.json.gz,f64e92be271bb51cc5dc70bb43fef98d8dcddc1085c4bc28eb779f0e71303103,
QBIEY,ok,cached,1170,2021-12-31,2026-09-11,True,False,raw/massive_QBIEY_daily_2001-01-01_2026-09-12.json.gz,2747f6b3a98426fb586f08bff98cbcde21bfac918225620728346116df84f91c,
RNR,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_RNR_daily_2001-01-01_2026-09-12.json.gz,d7481cd32e6335df3076ad18d1f863ed90c9379e272d28161221a265cf706895,
ROOT,ok,cached,1474,2020-10-28,2026-09-11,True,False,raw/massive_ROOT_daily_2001-01-01_2026-09-12.json.gz,23a9bb090971a984692f51e409c576e2d339a0e8813eadb7a53db0370fd361bc,
SGCFF,ok,cached,157,2022-01-31,2026-09-04,True,False,raw/massive_SGCFF_daily_2001-01-01_2026-09-12.json.gz,41684f0f9e71b62bf82b7e11d37e8f28c9228c51817b412e94854f75d3e06683,
SIGI,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_SIGI_daily_2001-01-01_2026-09-12.json.gz,66994d08bb7646d589a63b9d3f6aba9da5faa7f28fb987991ef4c93ec9ef5eec,
SLF,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_SLF_daily_2001-01-01_2026-09-12.json.gz,4dd75c3c7a000447794bfb7e436861337d24907007f84de58d09cbb24d3d9dc0,
SLLDY,ok,cached,1170,2021-12-31,2026-09-11,True,False,raw/massive_SLLDY_daily_2001-01-01_2026-09-12.json.gz,529d0aea7915ef67acad2bc0956cfdcb7c7f918a317efa51c04de51b4238ad6e,
SNMCY,ok,cached,854,2021-12-31,2026-09-11,True,False,raw/massive_SNMCY_daily_2001-01-01_2026-09-12.json.gz,f9486f595e9f53d23c9895c8be6fdea46e6f3b110a0a8728dca13cc18808aa49,
SNTAY,empty,cached,0,,,True,False,raw/massive_SNTAY_daily_2001-01-01_2026-09-12.json.gz,cea6b6b8240d9b5b0bd6098dfd99cadd58a31dc4d4f05b74723143af76fa9e37,
SSREY,ok,cached,1171,2021-12-31,2026-09-11,True,False,raw/massive_SSREY_daily_2001-01-01_2026-09-12.json.gz,06874ce96cb5172479803bf3f44bc7b2f10f9f4e248efcc7923ee97723effa25,
THG,ok,cached,5226,2005-12-01,2026-09-11,True,False,raw/massive_THG_daily_2001-01-01_2026-09-12.json.gz,4434232e893ee357a5d6eb512ea187c98e5920fc6d23e61101f167a509025b36,
TRV,ok,cached,4917,2007-02-27,2026-09-11,True,False,raw/massive_TRV_daily_2001-01-01_2026-09-12.json.gz,36e70366ad012557e4939470a8dd1e97012871890de4662dbde44668af86c6e8,
UVE,ok,cached,4874,2007-04-30,2026-09-11,True,False,raw/massive_UVE_daily_2001-01-01_2026-09-12.json.gz,adbff2f47b22f9f8c4b349e66d1a1f55ae6d094243721153376de9a257fbcd8a,
WRB,ok,cached,4632,2008-04-15,2026-09-11,True,False,raw/massive_WRB_daily_2001-01-01_2026-09-12.json.gz,101dfc1b29cec9ed4a576cb213304f28096901950c3fbcae1b6518741ad565d9,
ZURVY,ok,cached,1171,2021-12-31,2026-09-11,True,False,raw/massive_ZURVY_daily_2001-01-01_2026-09-12.json.gz,e918de6917fa0fc459ef93300488d3ccb5a961464e50ab9a1d1905616bc1491a,
ACE,ok,downloaded,3109,2003-09-10,2016-01-14,True,False,raw/massive_ACE_daily_2001-01-01_2026-09-12.json.gz,3576dc4614a8a2cbad47042e6e8f0f0ae7a5e315044eeb51c28a65958bb7a26c,
RE,ok,downloaded,4990,2003-09-10,2023-07-07,True,False,raw/massive_RE_daily_2001-01-01_2026-09-12.json.gz,a84947f78a343da64d6695bcfdfe344cda3d18429fbf526014fa01ac5107d567,
KIE,ok,downloaded,5228,2005-11-15,2026-09-11,True,False,raw/massive_KIE_daily_2001-01-01_2026-09-12.json.gz,b38a3fb7cbb35ba5b7bcaa1072278eda3d40f5c0b505c9762b526a6d0bdf99f8,
SPY,ok,cached,5788,2003-09-10,2026-09-11,True,False,raw/massive_SPY_daily_2001-01-01_2026-09-12.json.gz,a1de9870a5f90dae222ba8d3773c64c798a47325880c3bb0e8534604d7421a1b,
